#                                                     Sat May  9 17:06:41 2020
#          I------------------------------------------------------------------------------------------------------------------------I
#          I                                                                                                                        I
#          I      BC_GALAXEV  ---  MODEL PARAMETERS:   Generic file name for this model = Template11                                I
#          I                                                                                                                        I
#          I      TRACKS: Padova (1994) + S. Charlot (1997). X=0.70, Y=0.28, Z=0.02                                                 I
#          I                                                                                                                        I
#          I      S.F.R.: Exponential with MU9 = 0.865/Gyr      TAU =   0.500 Gyr (does not include processed gas recycling)        I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I      I.M.F.: Lognormal + power law                                                                                     I
#          I                                                                      mass in      number                               I
#          I                                                  from m     to m     segment    of stars      c                        I
#          I                                        lognormal*******     1.00      0.0000      0.0000                               I
#          I                                          x=1.3     1.00*********      2.4749      0.5722                               I
#          I                                                                                                                        I
#          I                                                           totals      1.0000      1.4903  0.6710 Mo/star               I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I      LISTED: Rest frame properties                                                                                     I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I                              (C) 1995-2017 G. Bruzual A. & S. Charlot - All Rights Reserved                            I
#          I------------------------------------------------------------------------------------------------------------------------I
#
#    (1)       (2)       (3)       (4)        (5)       (6)          (7)          (8)          (9)         (10)         (11)           (12)        (13)        (14)        (15)        (16)        (17)
#                                                                                                                      M*_tot=
#log-age-yr    Mbol      Bmag      Vmag      Kmag      M*_liv     M_remnants    M_ret_gas    M_galaxy      SFR/yr    M*_liv+M_rem   M*_tot/Lb   M*_tot/Lv   M*_tot/Lk   M*_liv/Lb   M*_liv/Lv   M*_liv/Lk
  5.100001    6.2032    9.6694    9.9647   10.6634   2.5175E-04   0.0000E+00   0.0000E+00   0.0000E+00   1.9995E-09   2.5175E-04   1.2267E-02  2.9300E-02  2.2405E-01  1.2267E-02  2.9300E-02  2.2405E-01
  5.150001    6.0782    9.5444    9.8398   10.5384   2.8247E-04   0.0000E+00   0.0000E+00   0.0000E+00   1.9994E-09   2.8247E-04   1.2267E-02  2.9300E-02  2.2405E-01  1.2267E-02  2.9300E-02  2.2405E-01
  5.199999    5.9532    9.4194    9.7148   10.4134   3.1693E-04   0.0000E+00   0.0000E+00   0.0000E+00   1.9994E-09   3.1693E-04   1.2267E-02  2.9300E-02  2.2405E-01  1.2267E-02  2.9300E-02  2.2405E-01
  5.250000    5.8283    9.2944    9.5898   10.2885   3.5559E-04   0.0000E+00   0.0000E+00   0.0000E+00   1.9993E-09   3.5559E-04   1.2267E-02  2.9300E-02  2.2405E-01  1.2267E-02  2.9300E-02  2.2405E-01
  5.300002    5.7033    9.1694    9.4648   10.1635   3.9897E-04   0.0000E+00   0.0000E+00   0.0000E+00   1.9992E-09   3.9897E-04   1.2267E-02  2.9300E-02  2.2405E-01  1.2267E-02  2.9300E-02  2.2405E-01
  5.350002    5.5783    9.0445    9.3398   10.0385   4.4765E-04   0.0000E+00   0.0000E+00   0.0000E+00   1.9991E-09   4.4765E-04   1.2267E-02  2.9300E-02  2.2405E-01  1.2267E-02  2.9300E-02  2.2405E-01
  5.400001    5.4533    8.9195    9.2149    9.9135   5.0225E-04   0.0000E+00   0.0000E+00   0.0000E+00   1.9990E-09   5.0225E-04   1.2267E-02  2.9300E-02  2.2405E-01  1.2267E-02  2.9300E-02  2.2405E-01
  5.450001    5.3284    8.7945    9.0899    9.7886   5.6352E-04   0.0000E+00   0.0000E+00   0.0000E+00   1.9989E-09   5.6352E-04   1.2267E-02  2.9300E-02  2.2405E-01  1.2267E-02  2.9300E-02  2.2405E-01
  5.500002    5.2034    8.6696    8.9649    9.6636   6.3226E-04   0.0000E+00   0.0000E+00   0.0000E+00   1.9987E-09   6.3226E-04   1.2267E-02  2.9300E-02  2.2405E-01  1.2267E-02  2.9300E-02  2.2405E-01
  5.550002    5.0784    8.5446    8.8400    9.5387   7.0938E-04   0.0000E+00   0.0000E+00   0.0000E+00   1.9986E-09   7.0938E-04   1.2267E-02  2.9300E-02  2.2405E-01  1.2267E-02  2.9300E-02  2.2405E-01
