# Input file name  = Template11.ised
# Output file name = Template11.age_extr
# Record         108
# Column           2
# SED(Lo/A)       at
# Lambda(A)    5.000E+07
9.100000E+01  1.1933E-05
9.400000E+01  1.3645E-05
9.600000E+01  1.4590E-05
9.800000E+01  8.1694E-05
1.000000E+02  2.2607E-04
1.020000E+02  2.4529E-04
1.040000E+02  2.3293E-04
1.060000E+02  2.3678E-04
1.080000E+02  2.4160E-04
1.100000E+02  2.7596E-04
1.140000E+02  2.8630E-04
1.180000E+02  2.7804E-04
1.210000E+02  3.5204E-04
1.250000E+02  3.6548E-04
1.270000E+02  3.7330E-04
1.280000E+02  3.7918E-04
1.310000E+02  3.6562E-04
1.320000E+02  3.7828E-04
1.340000E+02  3.6137E-04
1.370000E+02  4.0177E-04
1.400000E+02  4.0276E-04
1.430000E+02  5.0823E-04
1.470000E+02  6.3176E-04
1.510000E+02  5.6535E-04
1.550000E+02  6.3822E-04
1.590000E+02  6.4069E-04
1.620000E+02  6.4165E-04
1.660000E+02  6.4566E-04
1.700000E+02  6.4515E-04
1.730000E+02  5.3002E-04
1.770000E+02  6.5002E-04
1.800000E+02  6.5091E-04
1.820000E+02  6.5089E-04
1.860000E+02  6.5201E-04
1.910000E+02  6.5263E-04
1.940000E+02  6.5660E-04
1.980000E+02  6.5487E-04
2.020000E+02  6.5717E-04
2.050000E+02  6.5645E-04
2.100000E+02  6.3635E-04
2.160000E+02  6.5581E-04
2.200000E+02  6.5815E-04
2.230000E+02  6.5030E-04
2.270000E+02  6.5973E-04
2.300000E+02  8.2614E-04
2.340000E+02  1.2348E-03
2.400000E+02  1.3453E-03
2.460000E+02  1.2552E-03
2.520000E+02  1.2962E-03
2.570000E+02  1.1945E-03
2.600000E+02  1.2536E-03
2.640000E+02  1.5740E-03
2.690000E+02  1.6146E-03
2.740000E+02  1.6386E-03
2.790000E+02  1.4146E-03
2.840000E+02  1.6753E-03
2.900000E+02  1.7353E-03
2.960000E+02  1.5961E-03
3.010000E+02  1.4578E-03
3.080000E+02  1.5651E-03
3.180000E+02  1.5351E-03
3.280000E+02  1.5796E-03
3.380000E+02  1.4860E-03
3.480000E+02  1.3986E-03
3.570000E+02  1.8636E-03
3.660000E+02  2.8135E-03
3.750000E+02  2.7505E-03
3.850000E+02  2.1662E-03
3.950000E+02  3.1908E-03
4.050000E+02  3.9144E-03
4.140000E+02  3.8541E-03
4.220000E+02  3.4673E-03
4.300000E+02  3.2830E-03
4.410000E+02  3.7885E-03
4.510000E+02  3.8196E-03
4.600000E+02  3.3236E-03
4.700000E+02  3.3460E-03
4.800000E+02  3.7185E-03
4.900000E+02  3.1070E-03
5.000000E+02  3.7908E-03
5.060000E+02  3.2366E-03
5.120000E+02  5.0427E-03
5.200000E+02  4.7423E-03
5.300000E+02  4.3172E-03
5.400000E+02  3.4979E-03
5.500000E+02  3.3420E-03
5.600000E+02  4.3314E-03
5.700000E+02  4.7794E-03
5.800000E+02  4.6008E-03
5.900000E+02  4.6110E-03
6.000000E+02  3.8073E-03
6.100000E+02  3.6319E-03
6.200000E+02  4.5391E-03
6.300000E+02  4.2003E-03
6.400000E+02  4.5610E-03
6.500000E+02  4.3134E-03
6.580000E+02  3.9032E-03
6.650000E+02  4.3619E-03
6.750000E+02  4.5139E-03
6.850000E+02  3.8015E-03
6.950000E+02  4.3458E-03
7.050000E+02  3.4514E-03
7.160000E+02  4.3463E-03
7.260000E+02  4.3268E-03
7.350000E+02  4.2851E-03
7.450000E+02  4.0764E-03
7.550000E+02  3.9880E-03
7.650000E+02  3.5242E-03
7.750000E+02  3.8794E-03
7.850000E+02  3.5009E-03
7.950000E+02  3.7200E-03
8.050000E+02  3.7585E-03
8.150000E+02  3.7231E-03
8.250000E+02  3.7280E-03
8.350000E+02  2.9229E-03
8.450000E+02  3.5529E-03
8.550000E+02  3.4435E-03
8.650000E+02  3.5204E-03
8.750000E+02  3.4870E-03
8.850000E+02  3.4458E-03
8.950000E+02  3.4092E-03
9.050000E+02  3.2991E-03
9.150000E+02  3.1316E-03
9.250000E+02  6.8871E-03
9.350000E+02  1.0596E-02
9.450000E+02  1.3811E-02
9.550000E+02  1.5690E-02
9.650000E+02  1.6679E-02
9.750000E+02  6.6850E-03
9.850000E+02  1.2782E-02
9.950000E+02  1.2252E-02
1.005000E+03  1.5069E-02
1.015000E+03  1.5407E-02
1.025000E+03  1.0949E-02
1.035000E+03  1.3423E-02
1.045000E+03  1.7762E-02
1.055000E+03  1.6816E-02
1.065000E+03  1.4091E-02
1.075000E+03  1.5269E-02
1.085000E+03  1.3334E-02
1.095000E+03  1.5371E-02
1.105000E+03  1.4426E-02
1.115000E+03  1.3936E-02
1.125000E+03  1.2066E-02
1.135000E+03  1.4188E-02
1.145000E+03  1.3353E-02
1.155000E+03  1.3217E-02
1.165000E+03  1.2835E-02
1.175000E+03  8.5818E-03
1.185000E+03  1.2092E-02
1.195000E+03  1.0627E-02
1.205000E+03  8.9899E-03
1.215000E+03  7.4219E-03
1.225000E+03  1.0092E-02
1.235000E+03  1.1648E-02
1.245000E+03  1.1706E-02
1.255000E+03  1.1290E-02
1.265000E+03  1.0984E-02
1.275000E+03  1.1828E-02
1.285000E+03  1.1839E-02
1.295000E+03  1.0157E-02
1.305000E+03  1.0243E-02
1.315000E+03  1.1424E-02
1.325000E+03  1.0800E-02
1.335000E+03  1.0129E-02
1.345000E+03  1.0720E-02
1.355000E+03  1.0375E-02
1.365000E+03  9.6053E-03
1.375000E+03  9.4394E-03
1.385000E+03  9.2611E-03
1.395000E+03  6.8542E-03
1.405000E+03  6.6561E-03
1.415000E+03  8.5101E-03
1.425000E+03  8.1854E-03
1.435000E+03  8.4855E-03
1.442000E+03  8.5257E-03
1.447000E+03  8.4560E-03
1.455000E+03  8.1406E-03
1.465000E+03  7.6625E-03
1.475000E+03  7.7274E-03
1.485000E+03  7.7117E-03
1.495000E+03  7.5540E-03
1.505000E+03  7.1126E-03
1.512000E+03  6.5423E-03
1.517000E+03  6.7238E-03
1.525000E+03  6.6871E-03
1.535000E+03  5.7465E-03
1.545000E+03  5.1284E-03
1.555000E+03  5.1232E-03
1.565000E+03  5.7113E-03
1.575000E+03  6.0389E-03
1.585000E+03  6.1130E-03
1.595000E+03  6.0793E-03
1.605000E+03  5.9452E-03
1.615000E+03  5.8182E-03
1.625000E+03  5.7164E-03
1.635000E+03  5.9456E-03
1.645000E+03  5.9051E-03
1.655000E+03  5.7856E-03
1.665000E+03  5.9052E-03
1.672000E+03  5.5036E-03
1.677000E+03  6.0948E-03
1.685000E+03  5.9874E-03
1.695000E+03  5.6987E-03
1.705000E+03  5.5452E-03
1.715000E+03  5.2288E-03
1.725000E+03  5.1210E-03
1.735000E+03  5.3450E-03
1.745000E+03  5.2198E-03
1.755000E+03  5.2810E-03
1.765000E+03  5.1023E-03
1.775000E+03  4.9218E-03
1.785000E+03  5.0083E-03
1.795000E+03  5.0727E-03
1.805000E+03  5.0752E-03
1.815000E+03  4.6651E-03
1.825000E+03  4.7537E-03
1.835000E+03  4.6287E-03
1.845000E+03  4.3022E-03
1.855000E+03  4.2879E-03
1.865000E+03  4.3328E-03
1.875000E+03  4.4884E-03
1.885000E+03  4.1100E-03
1.895000E+03  3.9097E-03
1.905000E+03  4.1580E-03
1.915000E+03  3.9317E-03
1.925000E+03  3.7548E-03
1.935000E+03  3.9657E-03
1.945000E+03  4.0171E-03
1.955000E+03  3.6659E-03
1.967000E+03  3.9281E-03
1.976000E+03  4.0289E-03
